BINARY SubClassOf CorrosionResistance CorrosionBehavior
BINARY is Crosslinking Class
BINARY SubClassOf Crosslinking MaterialProcessing,
BINARY SubClassOf Crosslinking crosslinked_value_true
BINARY is CruciateLigamentReconstruction Class
BINARY SubClassOf CruciateLigamentReconstruction TissueReconstruction
BINARY is Cryogel Class
BINARY SubClassOf Cryogel Gel
BINARY is Cryogelation Class
BINARY SubClassOf Cryogelation Gelation
BINARY is Cryomilling Class
BINARY SubClassOf Cryomilling MaterialProcessing
BINARY is CrystalStructure Class
BINARY SubClassOf CrystalStructure ChemicalProperty
BINARY is Crystallinity Class
BINARY SubClassOf Crystallinity ChemicalProperty
BINARY is Cube Class
BINARY SubClassOf Cube Shape
BINARY is CustomMade Class
BINARY SubClassOf CustomMade OtherFeatures
BINARY is Cylinder Class
BINARY equiv Cylinder Cylindrical
BINARY SubClassOf Cylinder Shape
BINARY is Cylindrical Class
BINARY equiv Cylindrical Cylinder
BINARY SubClassOf Cylindrical Shape
BINARY is Decellularization Class
BINARY SubClassOf Decellularization MaterialProcessing
BINARY is DecellularizedMatrix Class
BINARY SubClassOf DecellularizedMatrix NaturalMaterial
BINARY is Deformation Class
BINARY SubClassOf Deformation MechanicalProperty
BINARY is Degradability Class
BINARY SubClassOf Degradability DegradationFeatures,
BINARY SubClassOf Degradability degradable_value_true
BINARY is DegradationFeatures Class
BINARY SubClassOf DegradationFeatures ManufacturedObjectFeatures
BINARY is DegradationRate Class
BINARY SubClassOf DegradationRate DegradationFeatures
BINARY is DegradationResistance Class
BINARY SubClassOf DegradationResistance DegradationFeatures
BINARY is DelayedResoption Class
BINARY SubClassOf DelayedResoption DegradationFeatures
BINARY is DendriticElastinLikePeptides Class
BINARY SubClassOf DendriticElastinLikePeptides BiologicallyActiveSubstance
BINARY is Density Class
BINARY SubClassOf Density MechanicalProperty
BINARY is Device Class
BINARY SubClassOf Device ManufacturedObject
BINARY is Diameter Class
BINARY SubClassOf Diameter PhysicalProperty
BINARY is Disk Class
BINARY SubClassOf Disk Structure
BINARY is Distensibility Class
BINARY SubClassOf Distensibility MechanicalProperty
BINARY is Doping Class
BINARY SubClassOf Doping MaterialProcessing
BINARY is DrugDelivery Class
